pitcher,team,opp,home,win_prob,wp_src,k9,k9_shr,kbb,hr9,era,gs26,ip_per_gs,ud_mean,ud_p20,ud_max,ud_min,ud_n,spot_starter,coors,legal,game_pk,venue
Chris Bassitt,BAL,ATH,A,0.579,MARKET,6.2,6.96,1.96,0.97,4.74,13,5.69,6.51,0.0,17.67,-4.0,13,False,False,True,824959,ATH
Jeffrey Springs,ATH,BAL,H,0.421,MARKET,7.0,7.34,1.88,2.28,6.08,24,4.93,6.18,0.0,18.0,-2.67,24,False,False,False,824959,ATH
Zack Wheeler,PHI,LAA,A,0.614,MARKET,10.71,10.14,3.89,1.38,3.4,22,5.65,12.79,0.182,25.0,0.0,22,False,False,True,823987,LAA
Yusei Kikuchi,LAA,PHI,H,0.386,MARKET,9.25,8.78,2.47,1.25,6.25,8,4.5,6.37,0.0,17.0,2.33,8,False,False,False,823987,LAA
Chase Burns,CIN,CHC,A,0.409,MARKET,10.57,10.07,3.35,0.9,2.77,25,5.59,12.68,0.038,20.0,2.33,26,False,False,False,824636,CHC
Shota Imanaga,CHC,CIN,H,0.591,MARKET,8.92,8.8,4.24,1.86,3.78,26,5.59,10.57,0.074,21.0,-1.67,27,False,False,True,824636,CHC
