team,opp,home,venue,implied,total,win_prob,src,tier,tier_adj,opp_sp,opp_k9,opp_hr9,opp_hr9_shr,opp_era,opp_gs26,spot_starter,arm_bucket,park_runs_idx,park_p20_idx,arm_idx,mult,split_n,split_mean,split_p5,split_p9,split_p12,l15_mean,season_mean,lineup_posted,game_pk,run_est,stack_score,tier_rank
BAL,ATH,A,ATH,5.53,10.5,0.579,MARKET,A,A,Jeffrey Springs,7.0,2.28,2.01,6.08,24,False,HIGH_HR,1.231,1.387,1.255,1.741,68,4.65,0.471,0.103,0.044,4.8,4.49,True,824959,5.53,9.63,0
ATH,BAL,H,ATH,4.97,10.5,0.421,MARKET,A,A,Chris Bassitt,6.2,0.97,1.06,4.74,13,False,MID_HR,1.231,1.387,1.0,1.387,67,4.94,0.493,0.104,0.06,4.27,4.33,True,824959,4.97,6.89,0
CHC,CIN,H,CHC,4.8,9.0,0.591,MARKET,A,A,Chase Burns,10.57,0.9,0.97,2.77,25,False,LOW_HR,1.053,1.168,0.742,0.867,68,5.16,0.5,0.132,0.059,5.73,5.31,False,824636,4.8,4.16,0
CIN,CHC,A,CHC,4.2,9.0,0.409,MARKET,C,C,Shota Imanaga,8.92,1.86,1.72,3.78,26,False,HIGH_HR,1.053,1.168,1.255,1.466,68,4.18,0.397,0.118,0.015,3.93,4.05,False,824636,4.2,6.16,2
LAA,PHI,H,LAA,3.4,7.5,0.386,MARKET,C,C,Zack Wheeler,10.71,1.38,1.34,3.4,22,False,HIGH_HR,0.912,0.788,1.255,0.989,70,3.54,0.314,0.043,0.0,4.0,4.07,False,823987,3.4,3.36,2
PHI,LAA,A,LAA,4.1,7.5,0.614,MARKET,C,C,Yusei Kikuchi,9.25,1.25,1.24,6.25,8,False,MID_HR,0.912,0.788,1.0,0.788,68,4.06,0.426,0.088,0.015,5.53,4.55,False,823987,4.1,3.23,2
