away,home,away_ml,home_ml,total
COL,ATL,+200,-250,8.5
BOS,NYY,-150,+125,8.0
SEA,TOR,-140,+115,8.0
LAD,DET,-160,+135,7.5
SD,TB,+140,-170,7.0
KC,CLE,+155,-190,7.5
TEX,MIL,+135,-165,8.5
CWS,MIN,+100,-120,8.5
PIT,STL,-125,+105,7.5
HOU,NYM,+105,-125,9.0
