date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-09-24,823326,Final,PIT,STL,1,2,1,694973,Paul Skenes,P,,0,P,,,3,,,1,1,,2,0,,8,6.33,1,0,1,1,16.33
2026-09-24,823326,Final,PIT,STL,1,2,1,687462,Spencer Horwitz,1B,7,1,H,4,3,0,0,0,0,0,1,0,0,0,0,,,,,,2
2026-09-24,823326,Final,PIT,STL,1,2,1,682927,Ronny Simon,RF,6,1,H,4,3,1,0,0,0,1,0,1,0,1,1,,,,,,12
2026-09-24,823326,Final,PIT,STL,1,2,1,664040,Brandon Lowe,2B,3,1,H,4,3,1,0,0,0,0,1,1,0,0,2,,,,,,8
2026-09-24,823326,Final,PIT,STL,1,2,1,668804,Bryan Reynolds,LF,8,0,H,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-09-24,823326,Final,PIT,STL,1,2,1,665833,Oneil Cruz,CF,1,1,H,4,4,2,1,0,0,1,0,0,0,1,0,,,,,,15
2026-09-24,823326,Final,PIT,STL,1,2,1,642397,Gregory Soto,P,,0,P,,,2,,,0,0,,0,0,,1,0.67,0,0,0,0,1.67
2026-09-24,823326,Final,PIT,STL,1,2,1,596133,Luke Weaver,P,,0,P,,,0,,,0,0,,0,0,,1,0.33,0,1,0,0,3.33
2026-09-24,823326,Final,PIT,STL,1,2,1,682254,Mason Montgomery,P,,0,P,,,0,,,0,0,,0,0,,3,1.0,0,0,0,0,4.0
2026-09-24,823326,Final,PIT,STL,1,2,1,663968,Jake Mangum,LF,8,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-09-24,823326,Final,PIT,STL,1,2,1,670990,Yohan Ramírez,P,,0,P,,,0,,,0,0,,0,1,,0,0.67,0,0,0,0,0.67
2026-09-24,823326,Final,PIT,STL,1,2,1,680779,Henry Davis,C,9,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-09-24,823326,Final,PIT,STL,1,2,1,804606,Konnor Griffin,SS,2,1,H,4,4,2,0,0,0,0,0,0,0,0,1,,,,,,6
2026-09-24,823326,Final,PIT,STL,1,2,1,656811,Ryan O'Hearn,DH,4,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-09-24,823326,Final,PIT,STL,1,2,1,693304,Nick Gonzales,3B,5,1,H,4,3,1,0,0,0,0,0,1,0,0,0,,,,,,6
2026-09-24,823326,Final,STL,PIT,0,1,2,663494,Bryan Torres,LF,6,1,H,3,2,0,0,0,0,0,0,1,0,0,0,,,,,,3
