date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-06-11,823619,Final,NYM,STL,1,5,4,666182,Bo Bichette,SS,2,1,H,4,4,1,0,0,1,1,2,0,0,0,0,,,,,,16
2026-06-11,823619,Final,NYM,STL,1,5,4,682626,Francisco Alvarez,C,8,1,H,3,3,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-06-11,823619,Final,NYM,STL,1,5,4,683146,Brett Baty,3B,7,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-11,823619,Final,NYM,STL,1,5,4,596133,Luke Weaver,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-06-11,823619,Final,NYM,STL,1,5,4,701807,Carson Benge,RF,1,1,H,4,4,1,0,0,0,1,0,0,0,0,2,,,,,,5
2026-06-11,823619,Final,NYM,STL,1,5,4,642207,Devin Williams,P,,0,P,,,0,,,0,0,,0,0,,2,1.0,0,0,0,0,3.0
2026-06-11,823619,Final,NYM,STL,1,5,4,543760,Marcus Semien,2B,6,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-06-11,823619,Final,NYM,STL,1,5,4,669004,MJ Melendez,LF,9,1,H,3,3,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-06-11,823619,Final,NYM,STL,1,5,4,621345,A.J. Minter,P,,0,P,,,0,,,0,0,,0,0,,0,1.33,0,0,0,0,1.33
2026-06-11,823619,Final,NYM,STL,1,5,4,665742,Juan Soto,DH,3,1,H,4,4,2,1,0,1,2,1,0,0,0,0,,,,,,22
2026-06-11,823619,Final,NYM,STL,1,5,4,681035,Christian Scott,P,,0,P,,,7,,,3,4,,1,0,,6,4.67,4,0,0,1,6.67
2026-06-11,823619,Final,NYM,STL,1,5,4,548384,Brooks Raley,P,,0,P,,,0,,,0,0,,1,0,,1,1.0,0,1,0,0,4.0
2026-06-11,823619,Final,NYM,STL,1,5,4,676724,Jared Young,1B,4,1,H,4,4,2,0,0,1,1,2,0,0,0,0,,,,,,19
2026-06-11,823619,Final,NYM,STL,1,5,4,805999,A.J. Ewing,CF,5,1,H,4,4,1,1,0,0,0,0,0,0,0,2,,,,,,6
2026-06-11,823619,Final,STL,NYM,0,4,5,669357,Nolan Gorman,3B,8,1,H,3,3,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-06-11,823619,Final,STL,NYM,0,4,5,663494,Bryan Torres,PH,8,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-11,823619,Final,STL,NYM,0,4,5,691023,Jordan Walker,RF,4,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-06-11,823619,Final,STL,NYM,0,4,5,701675,Nathan Church,CF,9,1,H,4,4,1,1,0,0,0,0,0,0,0,3,,,,,,6
2026-06-11,823619,Final,STL,NYM,0,4,5,663457,Lars Nootbaar,LF,5,1,H,4,4,2,1,0,1,1,1,0,0,0,0,,,,,,20
2026-06-11,823619,Final,STL,NYM,0,4,5,700669,Gordon Graceffo,P,,0,P,,,0,,,0,0,,0,0,,1,0.67,0,0,0,0,1.67
2026-06-11,823619,Final,STL,NYM,0,4,5,668941,JoJo Romero,P,,0,P,,,1,,,1,1,,0,0,,1,1.33,1,0,0,0,1.33
2026-06-11,823619,Final,STL,NYM,0,4,5,690928,Hunter Dobbins,P,,0,P,,,7,,,2,3,,0,0,,5,4.33,3,0,0,1,6.33
2026-06-11,823619,Final,STL,NYM,0,4,5,802139,JJ Wetherholt,2B,1,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-11,823619,Final,STL,NYM,0,4,5,677865,Justin Bruihl,P,,0,P,,,2,,,0,1,,0,0,,1,0.33,1,0,0,0,0.33
2026-06-11,823619,Final,STL,NYM,0,4,5,676475,Alec Burleson,1B,3,1,H,4,4,1,0,0,1,1,1,0,0,0,0,,,,,,14
2026-06-11,823619,Final,STL,NYM,0,4,5,666277,George Soriano,P,,0,P,,,0,,,0,0,,0,0,,1,1.33,0,0,0,0,2.33
2026-06-11,823619,Final,STL,NYM,0,4,5,691026,Masyn Winn,SS,6,1,H,4,4,1,1,0,0,1,0,0,0,0,1,,,,,,8
2026-06-11,823619,Final,STL,NYM,0,4,5,671056,Iván Herrera,DH,2,1,H,4,2,0,0,0,0,0,0,2,0,0,1,,,,,,6
2026-06-11,823619,Final,STL,NYM,0,4,5,699625,Jimmy Crooks,C,7,1,H,4,4,1,0,0,1,1,2,0,0,0,1,,,,,,16
2026-06-11,824265,Final,DET,MIN,1,11,0,656716,Zach McKinstry,2B,8,1,H,4,3,2,0,0,1,1,1,1,0,0,0,,,,,,20
2026-06-11,824265,Final,DET,MIN,1,11,0,689225,Beau Brieske,P,,0,P,,,0,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-06-11,824265,Final,DET,MIN,1,11,0,682985,Riley Greene,LF,3,1,H,4,3,1,0,0,1,1,2,0,0,0,1,,,,,,16
2026-06-11,824265,Final,DET,MIN,1,11,0,663947,Tyler Holton,P,,0,P,,,1,,,0,0,,0,0,,2,1.67,0,0,0,0,3.67
2026-06-11,824265,Final,DET,MIN,1,11,0,805808,Kevin McGonigle,SS,1,1,H,4,4,1,1,0,0,1,0,0,0,0,0,,,,,,8
2026-06-11,824265,Final,DET,MIN,1,11,0,681481,Kerry Carpenter,RF,5,1,H,4,3,1,0,0,0,1,0,1,0,0,0,,,,,,8
2026-06-11,824265,Final,DET,MIN,1,11,0,670097,Zack Short,SS,1,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-11,824265,Final,DET,MIN,1,11,0,679529,Spencer Torkelson,1B,7,1,H,4,4,1,0,0,1,1,2,0,0,0,3,,,,,,16
2026-06-11,824265,Final,DET,MIN,1,11,0,672456,Keider Montero,P,,0,P,,,4,,,0,0,,1,0,,4,6.33,0,1,1,1,15.33
