date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-08-15,824239,Final,DET,CWS,1,3,4,667452,Corey Julks,RF,9,1,H,2,2,1,1,0,0,1,0,0,0,0,1,,,,,,8
2026-08-15,824239,Final,DET,CWS,1,3,4,656716,Zach McKinstry,RF,9,0,H,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,824239,Final,DET,CWS,1,3,4,701678,Hao-Yu Lee,3B,2,1,H,3,3,1,0,0,0,1,0,0,0,0,0,,,,,,5
2026-08-15,824239,Final,DET,CWS,1,3,4,595879,Javier Báez,LF,8,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,824239,Final,DET,CWS,1,3,4,680664,Eduardo Valencia,C,5,1,H,4,4,2,0,0,1,1,2,0,0,0,1,,,,,,19
2026-08-15,824239,Final,DET,CWS,1,3,4,663432,Tanner Rainey,P,,0,P,,,1,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-15,824239,Final,DET,CWS,1,3,4,805808,Kevin McGonigle,SS,4,1,H,4,3,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-08-15,824239,Final,DET,CWS,1,3,4,640448,Kyle Finnegan,P,,0,P,,,0,,,0,0,,0,0,,1,1.67,0,0,0,0,2.67
2026-08-15,824239,Final,DET,CWS,1,3,4,679529,Spencer Torkelson,1B,6,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,824239,Final,DET,CWS,1,3,4,805427,Drew Sommers,P,,0,P,,,2,,,0,1,,1,0,,4,2.0,1,0,0,0,5.0
2026-08-15,824239,Final,DET,CWS,1,3,4,701162,Ben Malgeri,LF,7,1,H,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,824239,Final,DET,CWS,1,3,4,650402,Gleyber Torres,2B,1,1,H,4,4,3,1,0,0,0,1,0,0,0,0,,,,,,14
2026-08-15,824239,Final,DET,CWS,1,3,4,703601,Max Clark,CF,7,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,824239,Final,DET,CWS,1,3,4,693307,Dillon Dingler,DH,3,1,H,4,4,0,0,0,0,0,0,0,0,0,3,,,,,,0
2026-08-15,824239,Final,DET,CWS,1,3,4,690993,Colt Keith,3B,2,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,824239,Final,DET,CWS,1,3,4,675512,Troy Melton,P,,0,P,,,8,,,0,3,,1,0,,4,4.33,1,0,0,1,7.33
2026-08-15,824239,Final,CWS,DET,0,4,3,671976,Tristan Peters,LF,8,1,H,4,4,2,0,0,0,0,0,0,0,0,0,,,,,,6
2026-08-15,824239,Final,CWS,DET,0,4,3,641743,Anthony Kay,P,,0,P,,,6,,,1,3,,1,0,,4,5.33,3,0,0,1,6.33
2026-08-15,824239,Final,CWS,DET,0,4,3,545341,Randal Grichuk,LF,1,0,H,2,2,2,1,0,0,1,0,0,0,0,0,,,,,,11
2026-08-15,824239,Final,CWS,DET,0,4,3,808959,Munetaka Murakami,1B,2,1,H,5,4,1,1,0,0,0,0,1,0,0,2,,,,,,9
2026-08-15,824239,Final,CWS,DET,0,4,3,805367,Chase Meidroth,2B,7,1,H,4,4,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-15,824239,Final,CWS,DET,0,4,3,691799,Grant Taylor,P,,0,P,,,1,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-15,824239,Final,CWS,DET,0,4,3,695657,Colson Montgomery,SS,6,1,H,4,4,1,1,0,0,0,2,0,0,0,2,,,,,,10
2026-08-15,824239,Final,CWS,DET,0,4,3,695731,Braden Montgomery,RF,5,1,H,4,4,1,0,0,0,1,1,0,0,0,2,,,,,,7
2026-08-15,824239,Final,CWS,DET,0,4,3,668670,Jake Rogers,C,9,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,824239,Final,CWS,DET,0,4,3,643217,Andrew Benintendi,DH,4,1,H,4,4,1,0,0,0,1,1,0,0,0,0,,,,,,7
2026-08-15,824239,Final,CWS,DET,0,4,3,663542,Bryan Hudson,P,,0,P,,,0,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-15,824239,Final,CWS,DET,0,4,3,663855,Jordan Hicks,P,,0,P,,,0,,,0,0,,0,0,,3,1.67,0,1,0,0,6.67
2026-08-15,824239,Final,CWS,DET,0,4,3,803011,Sam Antonacci,LF,1,1,H,3,3,1,1,0,0,1,0,0,0,0,1,,,,,,8
2026-08-15,824239,Final,CWS,DET,0,4,3,678246,Miguel Vargas,3B,3,1,H,5,4,1,1,0,0,0,0,1,0,0,1,,,,,,9
2026-08-15,824644,Final,CHC,STL,1,4,8,624424,Michael Conforto,DH,8,1,H,2,2,1,0,0,1,1,3,0,0,0,1,,,,,,18
2026-08-15,824644,Final,CHC,STL,1,4,8,621438,Tyrone Taylor,DH,8,0,H,2,2,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-15,824644,Final,CHC,STL,1,4,8,664023,Ian Happ,LF,5,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-08-15,824644,Final,CHC,STL,1,4,8,573204,Caleb Thielbar,P,,0,P,,,0,,,0,0,,0,1,,0,1.0,0,0,0,0,1.0
2026-08-15,824644,Final,CHC,STL,1,4,8,608324,Alex Bregman,3B,4,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-15,824644,Final,CHC,STL,1,4,8,699393,Pedro Ramírez,2B,7,1,H,4,4,2,1,0,0,1,0,0,0,0,1,,,,,,11
2026-08-15,824644,Final,CHC,STL,1,4,8,683737,Michael Busch,1B,3,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-08-15,824644,Final,CHC,STL,1,4,8,691718,Pete Crow-Armstrong,CF,1,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,824644,Final,CHC,STL,1,4,8,665804,Miguel Amaya,C,9,1,H,3,3,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-15,824644,Final,CHC,STL,1,4,8,673548,Seiya Suzuki,RF,2,1,H,4,3,1,1,0,0,1,0,1,0,0,0,,,,,,11
2026-08-15,824644,Final,CHC,STL,1,4,8,663423,Trent Thornton,P,,0,P,,,0,,,0,0,,0,0,,1,0.67,0,0,0,0,1.67
2026-08-15,824644,Final,CHC,STL,1,4,8,571510,Matthew Boyd,P,,0,P,,,5,,,4,7,,3,2,,2,5.33,7,0,0,1,0.33
2026-08-15,824644,Final,CHC,STL,1,4,8,607067,Colin Rea,P,,0,P,,,2,,,1,1,,0,0,,1,2.0,1,0,0,0,2.0
2026-08-15,824644,Final,CHC,STL,1,4,8,663538,Nico Hoerner,SS,6,1,H,4,4,0,0,0,0,1,0,0,0,0,0,,,,,,2
2026-08-15,824644,Final,STL,CHC,0,8,4,700241,Michael McGreevy,P,,0,P,,,5,,,1,3,,2,0,,6,6.0,0,1,1,1,17.0
2026-08-15,824644,Final,STL,CHC,0,8,4,691023,Jordan Walker,RF,3,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,824644,Final,STL,CHC,0,8,4,802139,JJ Wetherholt,2B,1,1,H,5,4,0,0,0,0,1,0,1,0,0,0,,,,,,5
2026-08-15,824644,Final,STL,CHC,0,8,4,677865,Justin Bruihl,P,,0,P,,,1,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-08-15,824644,Final,STL,CHC,0,8,4,691458,Blaze Jordan,3B,7,1,H,4,4,1,0,0,1,1,1,0,0,0,0,,,,,,14
2026-08-15,824644,Final,STL,CHC,0,8,4,676475,Alec Burleson,1B,4,1,H,4,3,1,0,0,1,3,2,1,0,0,0,,,,,,23
2026-08-15,824644,Final,STL,CHC,0,8,4,676617,Riley O'Brien,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-08-15,824644,Final,STL,CHC,0,8,4,686780,Pedro Pagés,C,9,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-15,824644,Final,STL,CHC,0,8,4,592773,Ryne Stanek,P,,0,P,,,2,,,0,1,,0,0,,0,1.0,1,0,0,0,0.0
2026-08-15,824644,Final,STL,CHC,0,8,4,695491,Joshua Báez,LF,5,1,H,4,4,3,0,0,3,3,5,0,0,0,0,,,,,,46
2026-08-15,824644,Final,STL,CHC,0,8,4,677592,Everson Pereira,CF,8,1,H,4,3,1,0,0,0,0,0,0,1,0,2,,,,,,6
2026-08-15,824644,Final,STL,CHC,0,8,4,691026,Masyn Winn,SS,6,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,824644,Final,STL,CHC,0,8,4,671056,Iván Herrera,DH,2,1,H,5,2,0,0,0,0,0,0,1,2,0,0,,,,,,9
2026-08-15,822775,Final,TOR,NYY,1,4,1,693686,Spencer Miles,P,,0,P,,,1,,,0,0,,0,0,,1,1.0,0,1,0,0,4.0
2026-08-15,822775,Final,TOR,NYY,1,4,1,694357,Ricky Tiedemann,P,,0,P,,,2,,,0,1,,0,0,,2,1.67,1,0,0,0,2.67
2026-08-15,822775,Final,TOR,NYY,1,4,1,686973,Louis Varland,P,,0,P,,,0,,,0,0,,0,0,,3,1.0,0,0,0,0,4.0
2026-08-15,822775,Final,TOR,NYY,1,4,1,680573,Simeon Woods Richardson,P,,0,P,,,0,,,0,0,,1,0,,2,2.33,0,0,0,0,4.33
2026-08-15,822775,Final,TOR,NYY,1,4,1,676391,Ernie Clement,2B,8,0,H,2,2,2,0,0,0,1,0,0,0,0,0,,,,,,8
2026-08-15,822775,Final,TOR,NYY,1,4,1,807727,Charles McAdoo,1B,9,1,H,4,4,2,1,0,0,0,2,0,0,0,1,,,,,,13
2026-08-15,822775,Final,TOR,NYY,1,4,1,665926,Andrés Giménez,SS,6,1,H,4,4,1,0,0,0,1,0,0,0,0,1,,,,,,5
2026-08-15,822775,Final,TOR,NYY,1,4,1,678218,Brandon Valenzuela,C,7,1,H,4,3,0,0,0,0,1,0,0,1,0,2,,,,,,5
2026-08-15,822775,Final,TOR,NYY,1,4,1,703520,Brett Bateman,CF,1,1,H,5,4,2,0,0,0,1,0,1,0,0,0,,,,,,11
2026-08-15,822775,Final,TOR,NYY,1,4,1,664770,Nathan Lukes,RF,2,1,H,5,3,1,0,0,0,0,1,0,0,0,0,,,,,,5
2026-08-15,822775,Final,TOR,NYY,1,4,1,689254,Mason Fluharty,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-08-15,822775,Final,TOR,NYY,1,4,1,680755,Braydon Fisher,P,,0,P,,,0,,,0,0,,1,0,,0,1.0,0,0,0,1,1.0
2026-08-15,822775,Final,TOR,NYY,1,4,1,643511,Tyler Rogers,P,,0,P,,,1,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-15,822775,Final,TOR,NYY,1,4,1,669701,Josh Smith,2B,8,1,H,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,822775,Final,TOR,NYY,1,4,1,660821,Jesús Sánchez,LF,4,1,H,3,1,0,0,0,0,0,0,2,0,0,1,,,,,,6
2026-08-15,822775,Final,TOR,NYY,1,4,1,664702,Myles Straw,LF,4,0,H,2,2,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,822775,Final,TOR,NYY,1,4,1,672386,Alejandro Kirk,DH,3,1,H,5,3,1,0,0,0,0,1,2,0,0,0,,,,,,11
2026-08-15,822775,Final,TOR,NYY,1,4,1,672960,Kazuma Okamoto,3B,5,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-15,822775,Final,NYY,TOR,0,1,4,621112,Paul Blackburn,P,,0,P,,,0,,,0,0,,1,0,,1,0.67,0,0,0,0,1.67
2026-08-15,822775,Final,NYY,TOR,0,1,4,671218,Heliot Ramos,LF,3,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,822775,Final,NYY,TOR,0,1,4,682987,Spencer Jones,RF,5,1,H,3,3,1,0,0,0,1,0,0,0,1,1,,,,,,9
2026-08-15,822775,Final,NYY,TOR,0,1,4,641857,Ryan McMahon,3B,8,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,822775,Final,NYY,TOR,0,1,4,657612,Tim Hill,P,,0,P,,,3,,,0,2,,0,1,,0,0.67,2,0,0,0,-1.33
2026-08-15,822775,Final,NYY,TOR,0,1,4,669224,Austin Wells,C,9,1,H,3,3,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-15,822775,Final,NYY,TOR,0,1,4,700250,Ben Rice,DH,2,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,822775,Final,NYY,TOR,0,1,4,687396,Brent Headrick,P,,0,P,,,3,,,0,1,,0,0,,1,1.0,1,0,0,0,1.0
2026-08-15,822775,Final,NYY,TOR,0,1,4,665862,Jazz Chisholm Jr.,2B,6,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,822775,Final,NYY,TOR,0,1,4,660787,Yerry De los Santos,P,,0,P,,,0,,,0,0,,1,0,,0,0.33,0,0,0,0,0.33
2026-08-15,822775,Final,NYY,TOR,0,1,4,663757,Trent Grisham,CF,1,1,H,4,3,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-08-15,822775,Final,NYY,TOR,0,1,4,806146,George Lombard Jr.,SS,7,1,H,3,2,1,0,0,0,0,1,1,0,0,0,,,,,,8
2026-08-15,822775,Final,NYY,TOR,0,1,4,671277,Luis García Jr.,1B,4,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-08-15,822775,Final,NYY,TOR,0,1,4,693645,Cam Schlittler,P,,0,P,,,4,,,0,1,,3,0,,7,5.33,1,0,0,1,11.33
2026-08-15,823184,Final,SF,COL,1,7,1,681916,Dylan Smith,P,,0,P,,,0,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-15,823184,Final,SF,COL,1,7,1,701852,Drew Cavanaugh,C,6,1,H,4,3,0,0,0,0,1,0,1,0,0,0,,,,,,5
2026-08-15,823184,Final,SF,COL,1,7,1,657277,Logan Webb,P,,0,P,,,4,,,0,1,,0,0,,7,6.0,1,1,1,1,17.0
2026-08-15,823184,Final,SF,COL,1,7,1,671083,Buddy Kennedy,3B,8,1,H,4,3,1,0,0,0,1,0,0,1,0,0,,,,,,8
2026-08-15,823184,Final,SF,COL,1,7,1,693313,Carson Seymour,P,,0,P,,,1,,,0,0,,0,0,,3,2.0,0,0,0,0,5.0
2026-08-15,823184,Final,SF,COL,1,7,1,687551,Drew Gilbert,CF,1,1,H,5,4,3,0,0,1,2,3,1,0,0,1,,,,,,29
2026-08-15,823184,Final,SF,COL,1,7,1,808982,Jung Hoo Lee,RF,4,1,H,4,3,2,0,0,0,1,0,1,0,0,0,,,,,,11
2026-08-15,823184,Final,SF,COL,1,7,1,646240,Rafael Devers,DH,2,1,H,5,5,1,1,0,0,1,1,0,0,0,0,,,,,,10
2026-08-15,823184,Final,SF,COL,1,7,1,683766,Christian Koss,SS,9,1,H,4,4,1,0,0,0,1,0,0,0,0,2,,,,,,5
2026-08-15,823184,Final,SF,COL,1,7,1,806367,Turner Hill,LF,7,1,H,4,3,0,0,0,0,0,1,0,0,0,1,,,,,,2
2026-08-15,823184,Final,SF,COL,1,7,1,805811,Bryce Eldridge,1B,3,1,H,4,4,1,0,0,0,0,1,0,0,0,1,,,,,,5
2026-08-15,823184,Final,SF,COL,1,7,1,678545,Osleivis Basabe,2B,5,1,H,4,4,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-15,823184,Final,COL,SF,0,1,7,691182,Adael Amador,PH,3,0,H,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,823184,Final,COL,SF,0,1,7,666160,Mickey Moniak,DH,3,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,823184,Final,COL,SF,0,1,7,664983,Jake McCarthy,LF,1,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-15,823184,Final,COL,SF,0,1,7,650489,Willi Castro,3B,5,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-15,823184,Final,COL,SF,0,1,7,656786,Parker Mushinski,P,,0,P,,,3,,,0,1,,0,0,,0,0.33,1,0,0,0,-0.67
2026-08-15,823184,Final,COL,SF,0,1,7,694249,Cole Carrigg,CF,2,1,H,4,4,1,0,0,0,0,1,0,0,0,1,,,,,,5
2026-08-15,823184,Final,COL,SF,0,1,7,685299,Tanner Gordon,P,,0,P,,,3,,,0,0,,0,0,,4,4.0,0,0,0,0,8.0
2026-08-15,823184,Final,COL,SF,0,1,7,664954,Brett Sullivan,C,8,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,823184,Final,COL,SF,0,1,7,547179,Michael Lorenzen,P,,0,P,,,4,,,1,6,,3,1,,1,3.67,6,0,0,1,-1.33
2026-08-15,823184,Final,COL,SF,0,1,7,678662,Ezequiel Tovar,SS,9,1,H,3,3,1,0,0,0,1,0,0,0,0,1,,,,,,5
2026-08-15,823184,Final,COL,SF,0,1,7,681198,TJ Rumfield,1B,4,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,823184,Final,COL,SF,0,1,7,681393,Connor Norby,2B,7,1,H,3,3,1,1,0,0,0,0,0,0,0,1,,,,,,6
2026-08-15,823184,Final,COL,SF,0,1,7,691728,Zac Veen,RF,6,1,H,3,3,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,823588,Final,NYM,WSH,1,5,4,666182,Bo Bichette,3B,3,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-08-15,823588,Final,NYM,WSH,1,5,4,682626,Francisco Alvarez,C,9,1,H,4,4,1,1,0,0,0,1,0,0,0,2,,,,,,8
2026-08-15,823588,Final,NYM,WSH,1,5,4,640455,Sean Manaea,P,,0,P,,,6,,,2,4,,2,1,,7,6.33,4,0,0,1,9.33
2026-08-15,823588,Final,NYM,WSH,1,5,4,683146,Brett Baty,LF,7,1,H,4,2,0,0,0,0,1,0,2,0,0,0,,,,,,8
2026-08-15,823588,Final,NYM,WSH,1,5,4,642376,Jefry Yan,P,,0,P,,,0,,,0,0,,0,0,,3,1.67,0,1,0,0,6.67
2026-08-15,823588,Final,NYM,WSH,1,5,4,701807,Carson Benge,RF,4,1,H,4,2,1,0,0,1,1,1,2,0,0,1,,,,,,20
2026-08-15,823588,Final,NYM,WSH,1,5,4,673380,Dedniel Núñez,P,,0,P,,,1,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-15,823588,Final,NYM,WSH,1,5,4,543760,Marcus Semien,2B,6,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-08-15,823588,Final,NYM,WSH,1,5,4,596019,Francisco Lindor,SS,2,1,H,5,4,2,0,0,0,1,1,1,0,0,1,,,,,,13
2026-08-15,823588,Final,NYM,WSH,1,5,4,593871,Jorge Polanco,DH,8,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-08-15,823588,Final,NYM,WSH,1,5,4,676724,Jared Young,1B,5,1,H,4,4,2,1,0,0,0,2,0,0,0,2,,,,,,13
2026-08-15,823588,Final,NYM,WSH,1,5,4,805999,A.J. Ewing,CF,1,1,H,5,4,0,0,0,0,1,0,1,0,1,1,,,,,,9
2026-08-15,823588,Final,WSH,NYM,0,4,5,691781,Brady House,3B,3,1,H,4,4,1,0,0,1,1,3,0,0,0,2,,,,,,18
2026-08-15,823588,Final,WSH,NYM,0,4,5,702021,Will Dion,P,,0,P,,,0,,,0,0,,1,0,,7,4.33,0,0,0,0,11.33
2026-08-15,823588,Final,WSH,NYM,0,4,5,694673,Abimelec Ortiz,1B,2,0,H,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-15,823588,Final,WSH,NYM,0,4,5,682928,CJ Abrams,SS,4,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,823588,Final,WSH,NYM,0,4,5,683083,Nasim Nuñez,2B,8,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-15,823588,Final,WSH,NYM,0,4,5,665953,Andrés Chaparro,1B,2,1,H,3,2,1,0,0,1,2,1,1,0,0,1,,,,,,19
2026-08-15,823588,Final,WSH,NYM,0,4,5,686611,Dylan Crews,RF,1,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-15,823588,Final,WSH,NYM,0,4,5,690925,Clayton Beeter,P,,0,P,,,2,,,0,0,,1,0,,1,1.0,0,0,0,0,2.0
2026-08-15,823588,Final,WSH,NYM,0,4,5,695418,Brad Lord,P,,0,P,,,1,,,0,2,,4,0,,1,0.67,2,0,0,1,-0.33
2026-08-15,823588,Final,WSH,NYM,0,4,5,695734,Daylen Lile,DH,7,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,823588,Final,WSH,NYM,0,4,5,695670,Harry Ford,C,5,1,H,4,3,0,0,0,0,0,0,1,0,0,2,,,,,,3
2026-08-15,823588,Final,WSH,NYM,0,4,5,696285,Jacob Young,CF,6,1,H,4,4,2,0,0,0,0,0,0,0,0,1,,,,,,6
2026-08-15,823588,Final,WSH,NYM,0,4,5,687377,Orlando Ribalta,P,,0,P,,,0,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-15,823588,Final,WSH,NYM,0,4,5,687605,Andrew Pinckney,LF,9,1,H,3,2,1,0,1,0,1,0,0,1,0,1,,,,,,13
2026-08-15,823588,Final,WSH,NYM,0,4,5,676680,Tom Cosgrove,P,,0,P,,,2,,,1,1,,0,0,,1,1.0,1,0,0,0,1.0
2026-08-15,823588,Final,WSH,NYM,0,4,5,672442,Yovanny Cruz,P,,0,P,,,3,,,0,2,,1,0,,1,0.33,2,0,0,0,-0.67
2026-08-15,822941,Final,TB,BAL,1,3,4,670764,Taylor Walls,SS,9,1,H,3,3,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-15,822941,Final,TB,BAL,1,3,4,680700,Richie Palacios,2B,8,1,H,5,4,1,1,0,0,1,0,1,0,0,1,,,,,,11
2026-08-15,822941,Final,TB,BAL,1,3,4,668984,Casey Legumina,P,,0,P,,,0,,,0,0,,0,0,,4,2.0,0,0,0,0,6.0
2026-08-15,822941,Final,TB,BAL,1,3,4,802415,Chandler Simpson,LF,5,1,H,5,5,2,0,0,0,0,0,0,0,0,0,,,,,,6
2026-08-15,822941,Final,TB,BAL,1,3,4,592155,Cam Booser,P,,0,P,,,1,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-08-15,822941,Final,TB,BAL,1,3,4,676356,Jonny DeLuca,RF,6,1,H,5,4,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-08-15,822941,Final,TB,BAL,1,3,4,693855,Ian Seymour,P,,0,P,,,6,,,2,3,,1,0,,9,6.0,3,0,1,1,15.0
2026-08-15,822941,Final,TB,BAL,1,3,4,689414,Liam Hicks,C,4,1,H,3,1,0,0,0,0,1,0,2,0,0,0,,,,,,8
2026-08-15,822941,Final,TB,BAL,1,3,4,666018,Jonathan Aranda,1B,2,1,H,5,5,3,0,0,0,0,0,0,0,0,0,,,,,,9
2026-08-15,822941,Final,TB,BAL,1,3,4,663743,Nick Fortes,C,4,0,H,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,822941,Final,TB,BAL,1,3,4,650490,Yandy Díaz,DH,1,1,H,5,4,2,0,0,0,0,0,1,0,0,0,,,,,,9
2026-08-15,822941,Final,TB,BAL,1,3,4,641329,Bryan Baker,P,9,0,P,,,2,,,0,1,,1,0,,2,1.0,0,0,0,0,3.0
2026-08-15,822941,Final,TB,BAL,1,3,4,683748,Victor Mesa Jr.,PH,9,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-15,822941,Final,TB,BAL,1,3,4,691406,Junior Caminero,3B,3,1,H,5,5,1,0,0,0,0,1,0,0,0,2,,,,,,5
2026-08-15,822941,Final,TB,BAL,1,3,4,656775,Cedric Mullins,CF,7,1,H,5,5,1,0,1,0,0,1,0,0,0,2,,,,,,10
2026-08-15,822941,Final,BAL,TB,0,4,3,670329,Rico Garcia,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-08-15,822941,Final,BAL,TB,0,4,3,695380,Alex Hoppe,P,,0,P,,,1,,,0,0,,0,0,,0,0.67,0,0,0,0,0.67
2026-08-15,822941,Final,BAL,TB,0,4,3,683002,Gunnar Henderson,SS,5,1,H,5,4,1,0,0,0,1,0,1,0,0,1,,,,,,8
2026-08-15,822941,Final,BAL,TB,0,4,3,665750,Leody Taveras,RF,8,1,H,4,4,2,0,0,0,0,1,0,0,0,0,,,,,,8
2026-08-15,822941,Final,BAL,TB,0,4,3,681047,Christian Franklin,LF,7,1,H,4,3,0,0,0,0,0,0,1,0,0,2,,,,,,3
2026-08-15,822941,Final,BAL,TB,0,4,3,680694,Kyle Bradish,P,,0,P,,,7,,,0,2,,4,0,,3,6.0,2,0,1,1,10.0
2026-08-15,822941,Final,BAL,TB,0,4,3,687637,Dylan Beavers,DH,4,0,H,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,822941,Final,BAL,TB,0,4,3,641933,Tyler O'Neill,RF,1,1,H,5,5,1,0,0,0,0,1,0,0,0,2,,,,,,5
2026-08-15,822941,Final,BAL,TB,0,4,3,677020,Josh Walker,P,,0,P,,,0,,,0,0,,0,0,,0,0.33,0,0,0,0,0.33
2026-08-15,822941,Final,BAL,TB,0,4,3,624413,Pete Alonso,1B,2,1,H,5,5,3,0,0,1,1,1,0,0,0,0,,,,,,20
2026-08-15,822941,Final,BAL,TB,0,4,3,702616,Jackson Holliday,2B,3,1,H,5,4,1,1,0,0,0,0,0,0,0,2,,,,,,6
2026-08-15,822941,Final,BAL,TB,0,4,3,665966,Carlos Narváez,C,9,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,822941,Final,BAL,TB,0,4,3,552640,Andrew Kittredge,P,,0,P,,,3,,,0,1,,0,0,,0,1.0,1,1,0,0,2.0
2026-08-15,822941,Final,BAL,TB,0,4,3,687952,Christian Encarnacion-Strand,3B,6,1,H,5,5,1,0,0,1,1,1,0,0,0,2,,,,,,14
2026-08-15,822941,Final,BAL,TB,0,4,3,691723,Coby Mayo,DH,4,1,H,3,3,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-15,822941,Final,BAL,TB,0,4,3,676742,Cam Sanders,P,,0,P,,,0,,,0,0,,1,0,,2,1.0,0,0,0,0,3.0
