date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-07-10,824252,Final,DET,PHI,1,10,2,656716,Zach McKinstry,2B,7,1,H,4,3,0,0,0,0,1,1,0,0,0,1,,,,,,4
2026-07-10,824252,Final,DET,PHI,1,10,2,689225,Beau Brieske,P,,0,P,,,1,,,0,0,,0,0,,1,2.0,0,0,0,0,3.0
2026-07-10,824252,Final,DET,PHI,1,10,2,682985,Riley Greene,LF,3,1,H,4,1,1,1,0,0,2,0,3,0,0,0,,,,,,19
2026-07-10,824252,Final,DET,PHI,1,10,2,680664,Eduardo Valencia,DH,6,1,H,4,4,2,0,0,0,1,1,0,0,0,2,,,,,,10
2026-07-10,824252,Final,DET,PHI,1,10,2,621097,Jacob Waguespack,P,,0,P,,,1,,,0,0,,0,0,,0,0.67,0,0,0,0,0.67
2026-07-10,824252,Final,DET,PHI,1,10,2,805808,Kevin McGonigle,SS,1,1,H,5,5,1,0,0,1,1,2,0,0,0,1,,,,,,16
2026-07-10,824252,Final,DET,PHI,1,10,2,681481,Kerry Carpenter,RF,5,1,H,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-07-10,824252,Final,DET,PHI,1,10,2,656427,Jack Flaherty,P,,0,P,,,2,,,1,2,,3,1,,6,6.0,2,1,1,1,15.0
2026-07-10,824252,Final,DET,PHI,1,10,2,679529,Spencer Torkelson,1B,4,1,H,4,4,1,0,0,1,1,2,0,0,0,1,,,,,,16
2026-07-10,824252,Final,DET,PHI,1,10,2,805427,Drew Sommers,P,,0,P,,,0,,,0,0,,0,0,,0,0.33,0,0,0,0,0.33
2026-07-10,824252,Final,DET,PHI,1,10,2,668670,Jake Rogers,C,9,1,H,4,3,1,0,0,0,1,0,1,0,0,0,,,,,,8
2026-07-10,824252,Final,DET,PHI,1,10,2,681546,James Outman,CF,8,1,H,4,4,1,0,1,0,1,2,0,0,0,1,,,,,,14
2026-07-10,824252,Final,DET,PHI,1,10,2,663837,Matt Vierling,RF,5,0,H,2,1,0,0,0,0,1,0,1,0,0,0,,,,,,5
2026-07-10,824252,Final,DET,PHI,1,10,2,690993,Colt Keith,3B,2,1,H,5,5,1,0,0,1,1,1,0,0,0,1,,,,,,14
2026-07-10,824252,Final,PHI,DET,0,2,10,687282,Gabriel Rincones Jr.,RF,7,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-07-10,824252,Final,PHI,DET,0,2,10,669016,Brandon Marsh,LF,4,1,H,4,4,1,0,0,0,0,0,0,0,0,3,,,,,,3
2026-07-10,824252,Final,PHI,DET,0,2,10,547180,Bryce Harper,1B,3,1,H,4,3,0,0,0,0,1,0,1,0,0,0,,,,,,5
2026-07-10,824252,Final,PHI,DET,0,2,10,664761,Alec Bohm,3B,5,1,H,4,3,0,0,0,0,0,0,0,1,0,0,,,,,,3
2026-07-10,824252,Final,PHI,DET,0,2,10,641835,Tim Mayza,P,,0,P,,,2,,,0,5,,2,0,,1,1.0,4,0,0,0,-2.0
2026-07-10,824252,Final,PHI,DET,0,2,10,681082,Bryson Stott,2B,6,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-07-10,824252,Final,PHI,DET,0,2,10,656941,Kyle Schwarber,DH,2,1,H,4,3,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-07-10,824252,Final,PHI,DET,0,2,10,665561,Rafael Marchán,C,9,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-07-10,824252,Final,PHI,DET,0,2,10,596117,Garrett Stubbs,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-07-10,824252,Final,PHI,DET,0,2,10,676661,Max Lazar,P,,0,P,,,3,,,2,3,,1,0,,0,1.0,3,0,0,0,-2.0
2026-07-10,824252,Final,PHI,DET,0,2,10,605400,Aaron Nola,P,,0,P,,,3,,,1,2,,2,0,,8,5.0,2,0,0,1,11.0
2026-07-10,824252,Final,PHI,DET,0,2,10,607208,Trea Turner,SS,1,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
