date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-04-14,824853,Final,BAL,AZ,1,3,4,669236,Jeremiah Jackson,2B,8,1,H,4,4,2,1,0,0,0,0,0,0,0,0,,,,,,9
2026-04-14,824853,Final,BAL,AZ,1,3,4,694212,Samuel Basallo,C,4,1,H,4,3,2,0,0,1,1,1,1,0,0,0,,,,,,20
2026-04-14,824853,Final,BAL,AZ,1,3,4,669432,Trevor Rogers,P,,0,P,,,9,,,1,4,,1,0,,6,4.67,4,0,0,1,6.67
2026-04-14,824853,Final,BAL,AZ,1,3,4,670329,Rico Garcia,P,,0,P,,,0,,,0,0,,0,0,,2,1.33,0,0,0,0,3.33
2026-04-14,824853,Final,BAL,AZ,1,3,4,675919,Nick Raquet,P,,0,P,,,1,,,0,0,,0,1,,0,0.67,0,0,0,0,0.67
2026-04-14,824853,Final,BAL,AZ,1,3,4,683002,Gunnar Henderson,SS,1,1,H,5,5,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-04-14,824853,Final,BAL,AZ,1,3,4,665750,Leody Taveras,CF,6,1,H,4,3,1,0,0,0,0,2,1,0,0,0,,,,,,10
2026-04-14,824853,Final,BAL,AZ,1,3,4,621493,Taylor Ward,LF,2,1,H,5,5,1,0,0,0,1,0,0,0,1,0,,,,,,9
2026-04-14,824853,Final,BAL,AZ,1,3,4,687637,Dylan Beavers,DH,5,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-04-14,824853,Final,BAL,AZ,1,3,4,677942,Blaze Alexander,3B,9,1,H,4,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-04-14,824853,Final,BAL,AZ,1,3,4,624413,Pete Alonso,1B,3,1,H,4,2,0,0,0,0,1,0,2,0,0,1,,,,,,8
2026-04-14,824853,Final,BAL,AZ,1,3,4,664991,Grant Wolfram,P,,0,P,,,0,,,0,0,,0,0,,3,1.33,0,0,0,0,4.33
2026-04-14,824853,Final,BAL,AZ,1,3,4,666974,Yennier Cano,P,,0,P,,,0,,,0,0,,0,0,,2,1.0,0,0,0,0,3.0
2026-04-14,824853,Final,BAL,AZ,1,3,4,681297,Colton Cowser,RF,7,1,H,4,3,1,0,0,0,0,0,1,0,0,0,,,,,,6
2026-04-14,824853,Final,AZ,BAL,0,4,3,666661,Juan Morillo,P,,0,P,,,2,,,0,1,,2,0,,0,0.67,1,0,0,0,-0.33
2026-04-14,824853,Final,AZ,BAL,0,4,3,694374,Tim Tawa,LF,8,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-04-14,824853,Final,AZ,BAL,0,4,3,571448,Nolan Arenado,3B,5,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-04-14,824853,Final,AZ,BAL,0,4,3,518876,Merrill Kelly,P,,0,P,,,5,,,1,2,,4,0,,3,5.33,2,1,0,1,8.33
2026-04-14,824853,Final,AZ,BAL,0,4,3,663609,Luken Baker,1B,6,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-04-14,824853,Final,AZ,BAL,0,4,3,545121,Ildemaro Vargas,2B,1,1,H,5,5,1,0,0,1,1,3,0,0,0,2,,,,,,18
2026-04-14,824853,Final,AZ,BAL,0,4,3,672695,Geraldo Perdomo,SS,3,1,H,4,4,3,0,0,0,1,0,0,0,2,1,,,,,,19
2026-04-14,824853,Final,AZ,BAL,0,4,3,699912,Jose Fernandez,DH,4,1,H,4,4,2,1,0,0,0,1,0,0,0,2,,,,,,11
2026-04-14,824853,Final,AZ,BAL,0,4,3,623149,Paul Sewald,P,,0,P,,,0,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-04-14,824853,Final,AZ,BAL,0,4,3,682998,Corbin Carroll,RF,2,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-04-14,824853,Final,AZ,BAL,0,4,3,664199,Taylor Clarke,P,,0,P,,,0,,,0,0,,0,0,,1,1.67,0,0,0,0,2.67
2026-04-14,824853,Final,AZ,BAL,0,4,3,657044,Ryan Thompson,P,,0,P,,,0,,,0,0,,0,0,,0,0.33,0,0,0,0,0.33
2026-04-14,824853,Final,AZ,BAL,0,4,3,543510,James McCann,C,7,1,H,4,4,2,0,0,0,1,0,0,0,0,1,,,,,,8
2026-04-14,824853,Final,AZ,BAL,0,4,3,678489,Jorge Barrosa,CF,9,1,H,4,2,1,1,0,0,1,0,1,1,0,0,,,,,,14
2026-04-14,824292,Final,DET,KC,1,2,1,664285,Framber Valdez,P,,0,P,,,4,,,0,1,,2,0,,1,7.0,1,0,1,1,10.0
2026-04-14,824292,Final,DET,KC,1,2,1,656716,Zach McKinstry,2B,9,1,H,3,3,1,1,0,0,1,0,0,0,0,0,,,,,,8
2026-04-14,824292,Final,DET,KC,1,2,1,595879,Javier Báez,CF,8,1,H,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-04-14,824292,Final,DET,KC,1,2,1,682985,Riley Greene,LF,6,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-04-14,824292,Final,DET,KC,1,2,1,805808,Kevin McGonigle,SS,3,1,H,4,2,0,0,0,0,1,0,2,0,0,0,,,,,,8
2026-04-14,824292,Final,DET,KC,1,2,1,445276,Kenley Jansen,P,,0,P,,,1,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-04-14,824292,Final,DET,KC,1,2,1,679529,Spencer Torkelson,1B,7,1,H,3,1,0,0,0,0,0,0,2,0,0,1,,,,,,6
2026-04-14,824292,Final,DET,KC,1,2,1,650402,Gleyber Torres,DH,1,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-04-14,824292,Final,DET,KC,1,2,1,663837,Matt Vierling,CF,2,1,H,3,2,1,0,0,0,0,0,1,0,0,0,,,,,,6
