date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-08-04,824805,Final,BAL,LAA,1,3,1,670329,Rico Garcia,P,,0,P,,,1,,,0,0,,1,0,,1,1.0,0,0,0,0,2.0
2026-08-04,824805,Final,BAL,LAA,1,3,1,700249,Cade Povich,P,,0,P,,,7,,,0,0,,1,0,,7,6.0,0,1,1,1,18.0
2026-08-04,824805,Final,BAL,LAA,1,3,1,683002,Gunnar Henderson,SS,3,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-08-04,824805,Final,BAL,LAA,1,3,1,681047,Christian Franklin,LF,7,1,H,3,2,0,0,0,0,1,0,1,0,1,0,,,,,,9
2026-08-04,824805,Final,BAL,LAA,1,3,1,687637,Dylan Beavers,RF,1,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-04,824805,Final,BAL,LAA,1,3,1,641933,Tyler O'Neill,PH,1,0,H,1,1,1,0,0,1,1,1,0,0,0,0,,,,,,14
2026-08-04,824805,Final,BAL,LAA,1,3,1,624413,Pete Alonso,1B,2,1,H,4,4,1,0,0,0,0,2,0,0,0,1,,,,,,7
2026-08-04,824805,Final,BAL,LAA,1,3,1,702616,Jackson Holliday,2B,5,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-04,824805,Final,BAL,LAA,1,3,1,665966,Carlos Narváez,C,9,1,H,3,2,0,0,0,0,0,0,0,1,0,0,,,,,,3
2026-08-04,824805,Final,BAL,LAA,1,3,1,552640,Andrew Kittredge,P,,0,P,,,1,,,0,1,,0,0,,1,1.0,0,0,0,0,2.0
2026-08-04,824805,Final,BAL,LAA,1,3,1,666974,Yennier Cano,P,,0,P,,,1,,,0,0,,0,0,,2,1.0,0,0,0,0,3.0
2026-08-04,824805,Final,BAL,LAA,1,3,1,687952,Christian Encarnacion-Strand,3B,4,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-04,824805,Final,BAL,LAA,1,3,1,681297,Colton Cowser,CF,8,1,H,3,3,1,0,0,0,1,0,0,0,0,1,,,,,,5
2026-08-04,824805,Final,BAL,LAA,1,3,1,691723,Coby Mayo,DH,6,1,H,3,3,1,0,1,0,0,0,0,0,0,1,,,,,,8
2026-08-04,824805,Final,LAA,BAL,0,1,3,624428,Adam Frazier,PH,8,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-04,824805,Final,LAA,BAL,0,1,3,642350,Jose Siri,LF,8,1,H,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-04,824805,Final,LAA,BAL,0,1,3,687263,Zach Neto,SS,1,1,H,5,5,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-04,824805,Final,LAA,BAL,0,1,3,518595,Travis d'Arnaud,C,7,1,H,2,2,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-04,824805,Final,LAA,BAL,0,1,3,815083,Mitch Farris,P,,0,P,,,1,,,1,1,,1,0,,1,1.0,1,0,0,0,1.0
2026-08-04,824805,Final,LAA,BAL,0,1,3,680570,Grayson Rodriguez,P,,0,P,,,3,,,0,2,,1,1,,6,7.0,2,0,1,1,14.0
2026-08-04,824805,Final,LAA,BAL,0,1,3,545361,Mike Trout,CF,2,1,H,4,4,1,0,0,0,0,0,0,0,0,3,,,,,,3
2026-08-04,824805,Final,LAA,BAL,0,1,3,694208,Moisés Ballesteros,DH,6,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-08-04,824805,Final,LAA,BAL,0,1,3,694203,Denzer Guzman,3B,5,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-08-04,824805,Final,LAA,BAL,0,1,3,687093,Vaughn Grissom,2B,4,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-04,824805,Final,LAA,BAL,0,1,3,694384,Nolan Schanuel,1B,3,1,H,4,4,2,2,0,0,1,0,0,0,0,0,,,,,,14
2026-08-04,824805,Final,LAA,BAL,0,1,3,685133,Wade Meckler,LF,9,1,H,4,3,2,0,0,0,0,0,1,0,0,1,,,,,,9
2026-08-04,824805,Final,LAA,BAL,0,1,3,666139,Josh Lowe,RF,7,0,H,2,2,2,1,0,0,0,0,0,0,0,0,,,,,,9
2026-08-04,824805,Final,LAA,BAL,0,1,3,623168,Tyler Heineman,C,8,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
