date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-07-26,822950,Final,TB,CLE,1,1,0,670764,Taylor Walls,SS,9,0,H,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-07-26,822950,Final,TB,CLE,1,1,0,680700,Richie Palacios,2B,9,1,H,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-07-26,822950,Final,TB,CLE,1,1,0,668723,Ryan Vilade,1B,2,1,H,4,4,1,0,0,0,0,0,0,0,0,2,,,,,,3
2026-07-26,822950,Final,TB,CLE,1,1,0,802415,Chandler Simpson,LF,5,1,H,3,3,2,0,0,0,1,0,0,0,0,0,,,,,,8
2026-07-26,822950,Final,TB,CLE,1,1,0,676356,Jonny DeLuca,RF,4,1,H,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-07-26,822950,Final,TB,CLE,1,1,0,664076,Garrett Cleavinger,P,,0,P,,,0,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-07-26,822950,Final,TB,CLE,1,1,0,663743,Nick Fortes,C,8,1,H,3,3,1,1,0,0,0,0,0,0,0,1,,,,,,6
2026-07-26,822950,Final,TB,CLE,1,1,0,650490,Yandy Díaz,DH,1,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-07-26,822950,Final,TB,CLE,1,1,0,810938,Ben Williamson,2B,6,1,H,3,3,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-07-26,822950,Final,TB,CLE,1,1,0,641329,Bryan Baker,P,,0,P,,,0,,,0,0,,1,0,,1,1.0,0,0,0,0,2.0
2026-07-26,822950,Final,TB,CLE,1,1,0,691406,Junior Caminero,3B,3,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-07-26,822950,Final,TB,CLE,1,1,0,656876,Drew Rasmussen,P,,0,P,,,1,,,0,0,,1,1,,9,7.0,0,1,1,1,21.0
2026-07-26,822950,Final,TB,CLE,1,1,0,656775,Cedric Mullins,CF,7,1,H,3,3,1,0,0,0,0,1,0,0,0,1,,,,,,5
2026-07-26,822950,Final,CLE,TB,0,0,1,800050,Chase DeLauter,DH,3,1,H,4,2,0,0,0,0,0,0,2,0,0,2,,,,,,6
2026-07-26,822950,Final,CLE,TB,0,0,1,595978,Austin Hedges,C,8,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-07-26,822950,Final,CLE,TB,0,0,1,683953,Travis Bazzana,2B,5,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-07-26,822950,Final,CLE,TB,0,0,1,677587,Brayan Rocchio,SS,4,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-07-26,822950,Final,CLE,TB,0,0,1,690984,Petey Halpin,CF,9,1,H,2,1,0,0,0,0,0,0,0,1,1,0,,,,,,7
2026-07-26,822950,Final,CLE,TB,0,0,1,670059,Colin Holderman,P,,0,P,,,0,,,0,0,,0,0,,0,0.33,0,0,0,0,0.33
2026-07-26,822950,Final,CLE,TB,0,0,1,681807,David Fry,LF,7,0,H,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-07-26,822950,Final,CLE,TB,0,0,1,608070,José Ramírez,3B,2,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-07-26,822950,Final,CLE,TB,0,0,1,680757,Steven Kwan,CF,1,1,H,4,4,1,1,0,0,0,0,0,0,0,0,,,,,,6
2026-07-26,822950,Final,CLE,TB,0,0,1,682657,Angel Martínez,RF,6,1,H,3,3,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-07-26,822950,Final,CLE,TB,0,0,1,700932,Kyle Manzardo,1B,7,1,H,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-07-26,822950,Final,CLE,TB,0,0,1,800048,Parker Messick,P,,0,P,,,6,,,0,1,,0,0,,6,7.67,1,0,1,1,15.67
2026-07-26,822950,Final,CLE,TB,0,0,1,656555,Rhys Hoskins,1B,9,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-07-26,822706,Final,WSH,AZ,1,10,7,691781,Brady House,3B,5,1,H,5,5,2,2,0,0,2,1,0,0,0,1,,,,,,18
2026-07-26,822706,Final,WSH,AZ,1,10,7,682928,CJ Abrams,SS,4,1,H,5,5,3,0,0,2,2,3,0,0,0,1,,,,,,33
2026-07-26,822706,Final,WSH,AZ,1,10,7,683083,Nasim Nuñez,2B,9,1,H,4,3,0,0,0,0,1,0,1,0,0,0,,,,,,5
2026-07-26,822706,Final,WSH,AZ,1,10,7,665953,Andrés Chaparro,DH,2,1,H,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-07-26,822706,Final,WSH,AZ,1,10,7,683000,Riley Cornelio,P,,0,P,,,1,,,0,1,,2,0,,0,2.0,1,1,0,0,3.0
2026-07-26,822706,Final,WSH,AZ,1,10,7,640454,Matt Krook,P,,0,P,,,0,,,0,2,,3,0,,0,0.0,2,0,0,0,-2.0
2026-07-26,822706,Final,WSH,AZ,1,10,7,571945,Miles Mikolas,P,,0,P,,,4,,,2,3,,1,1,,1,4.0,3,0,0,1,2.0
2026-07-26,822706,Final,WSH,AZ,1,10,7,686611,Dylan Crews,LF,3,1,H,5,5,3,1,0,0,1,0,0,0,0,0,,,,,,14
2026-07-26,822706,Final,WSH,AZ,1,10,7,668820,Max Kranick,P,,0,P,,,1,,,0,0,,0,0,,1,1.0,0,0,0,0,2.0
2026-07-26,822706,Final,WSH,AZ,1,10,7,690925,Clayton Beeter,P,,0,P,,,1,,,0,0,,1,0,,0,1.0,0,0,0,0,1.0
2026-07-26,822706,Final,WSH,AZ,1,10,7,695734,Daylen Lile,DH,2,0,H,3,3,1,0,0,0,1,0,0,0,0,0,,,,,,5
2026-07-26,822706,Final,WSH,AZ,1,10,7,695578,James Wood,RF,1,1,H,5,4,2,0,0,2,2,3,1,0,0,1,,,,,,33
2026-07-26,822706,Final,WSH,AZ,1,10,7,695670,Harry Ford,C,7,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-07-26,822706,Final,WSH,AZ,1,10,7,696285,Jacob Young,CF,6,1,H,4,4,2,1,0,0,1,2,0,0,0,0,,,,,,15
2026-07-26,822706,Final,WSH,AZ,1,10,7,676680,Tom Cosgrove,P,,0,P,,,2,,,0,1,,0,0,,0,1.0,1,0,0,0,0.0
2026-07-26,822706,Final,WSH,AZ,1,10,7,671277,Luis García Jr.,1B,8,1,H,4,4,2,1,0,0,0,0,0,0,0,0,,,,,,9
2026-07-26,822706,Final,AZ,WSH,0,7,10,694374,Tim Tawa,CF,9,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-07-26,822706,Final,AZ,WSH,0,7,10,680728,Adrian Del Castillo,DH,7,1,H,3,3,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-07-26,822706,Final,AZ,WSH,0,7,10,571448,Nolan Arenado,3B,6,1,H,5,4,0,0,0,0,0,1,1,0,0,0,,,,,,5
2026-07-26,822706,Final,AZ,WSH,0,7,10,682988,Tyler Locklear,1B,8,1,H,5,3,0,0,0,0,0,1,0,1,0,0,,,,,,5
2026-07-26,822706,Final,AZ,WSH,0,7,10,814439,Ryan Waldschmidt,LF,5,0,H,2,2,2,1,0,0,1,1,0,0,0,0,,,,,,13
