date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-08-13,824238,Final,DET,CLE,1,3,0,656716,Zach McKinstry,LF,6,0,H,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,DET,CLE,1,3,0,701678,Hao-Yu Lee,3B,6,1,H,2,2,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-13,824238,Final,DET,CLE,1,3,0,595879,Javier Báez,SS,8,1,H,3,3,1,1,0,0,1,0,0,0,0,1,,,,,,8
2026-08-13,824238,Final,DET,CLE,1,3,0,680664,Eduardo Valencia,DH,4,1,H,3,3,1,0,0,1,1,1,0,0,0,1,,,,,,14
2026-08-13,824238,Final,DET,CLE,1,3,0,663947,Tyler Holton,P,,0,P,,,1,,,0,0,,0,0,,0,1.67,0,0,0,0,1.67
2026-08-13,824238,Final,DET,CLE,1,3,0,805808,Kevin McGonigle,3B,3,1,H,4,4,1,0,0,0,1,0,0,0,1,2,,,,,,9
2026-08-13,824238,Final,DET,CLE,1,3,0,445276,Kenley Jansen,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-08-13,824238,Final,DET,CLE,1,3,0,679529,Spencer Torkelson,1B,5,1,H,4,3,2,0,0,0,0,1,1,0,0,1,,,,,,11
2026-08-13,824238,Final,DET,CLE,1,3,0,672456,Keider Montero,P,,0,P,,,3,,,0,0,,1,0,,0,6.33,0,1,1,1,11.33
2026-08-13,824238,Final,DET,CLE,1,3,0,701162,Ben Malgeri,RF,9,1,H,3,2,1,0,0,0,0,0,0,1,0,0,,,,,,6
2026-08-13,824238,Final,DET,CLE,1,3,0,650402,Gleyber Torres,2B,1,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-08-13,824238,Final,DET,CLE,1,3,0,703601,Max Clark,CF,7,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,DET,CLE,1,3,0,693307,Dillon Dingler,C,2,1,H,4,4,0,0,0,0,0,1,0,0,0,1,,,,,,2
2026-08-13,824238,Final,DET,CLE,1,3,0,690993,Colt Keith,DH,4,0,H,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-08-13,824238,Final,CLE,DET,0,0,3,694197,Angel Genao,3B,7,1,H,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,CLE,DET,0,0,3,800050,Chase DeLauter,RF,2,1,H,4,4,2,0,0,0,0,0,0,0,1,0,,,,,,10
2026-08-13,824238,Final,CLE,DET,0,0,3,595978,Austin Hedges,C,8,1,H,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,CLE,DET,0,0,3,663993,Nathaniel Lowe,1B,4,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,CLE,DET,0,0,3,684974,Craig Yoho,P,,0,P,,,1,,,0,0,,0,0,,2,1.33,0,0,0,0,3.33
2026-08-13,824238,Final,CLE,DET,0,0,3,683953,Travis Bazzana,2B,6,1,H,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,CLE,DET,0,0,3,677587,Brayan Rocchio,SS,9,1,H,3,3,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-13,824238,Final,CLE,DET,0,0,3,666176,Jo Adell,LF,5,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,CLE,DET,0,0,3,680916,Franco Aleman,P,,0,P,,,2,,,0,1,,1,0,,0,0.33,1,0,0,0,-0.67
2026-08-13,824238,Final,CLE,DET,0,0,3,608070,José Ramírez,DH,3,1,H,4,3,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-08-13,824238,Final,CLE,DET,0,0,3,680757,Steven Kwan,CF,1,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824238,Final,CLE,DET,0,0,3,682657,Angel Martínez,RF,8,0,H,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-08-13,824238,Final,CLE,DET,0,0,3,800048,Parker Messick,P,,0,P,,,3,,,1,2,,2,1,,6,5.67,2,0,0,1,9.67
2026-08-13,824238,Final,CLE,DET,0,0,3,682120,Tim Herrin,P,,0,P,,,0,,,0,0,,0,0,,0,0.67,0,0,0,0,0.67
2026-08-13,824561,Final,CWS,CIN,1,8,9,671976,Tristan Peters,LF,9,0,H,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-08-13,824561,Final,CWS,CIN,1,8,9,663436,Davis Martin,P,,0,P,,,2,,,2,4,,1,2,,3,2.0,3,0,0,1,2.0
2026-08-13,824561,Final,CWS,CIN,1,8,9,682668,Luisangel Acuña,SS,9,1,H,2,2,1,0,0,0,1,0,0,0,0,1,,,,,,5
2026-08-13,824561,Final,CWS,CIN,1,8,9,545341,Randal Grichuk,DH,2,1,H,3,3,2,2,0,0,0,3,0,0,0,0,,,,,,18
2026-08-13,824561,Final,CWS,CIN,1,8,9,808959,Munetaka Murakami,PH,5,0,H,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-13,824561,Final,CWS,CIN,1,8,9,805367,Chase Meidroth,SS,1,1,H,5,3,2,2,0,0,2,1,2,0,0,1,,,,,,24
2026-08-13,824561,Final,CWS,CIN,1,8,9,695657,Colson Montgomery,3B,6,1,H,5,5,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-08-13,824561,Final,CWS,CIN,1,8,9,670950,Trevor Richards,P,,0,P,,,1,,,0,0,,0,0,,2,2.67,0,0,0,0,4.67
2026-08-13,824561,Final,CWS,CIN,1,8,9,701780,Tanner McDougal,P,,0,P,,,0,,,0,1,,3,1,,0,0.33,1,0,0,0,-0.67
2026-08-13,824561,Final,CWS,CIN,1,8,9,695731,Braden Montgomery,RF,4,1,H,5,2,0,0,0,0,2,0,3,0,0,2,,,,,,13
2026-08-13,824561,Final,CWS,CIN,1,8,9,700337,Edgar Quero,C,7,1,H,5,5,3,0,0,0,1,2,0,0,0,0,,,,,,15
2026-08-13,824561,Final,CWS,CIN,1,8,9,643217,Andrew Benintendi,DH,2,0,H,2,2,1,0,0,0,0,2,0,0,0,1,,,,,,7
2026-08-13,824561,Final,CWS,CIN,1,8,9,686668,Brenton Doyle,CF,5,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-08-13,824561,Final,CWS,CIN,1,8,9,607200,Erick Fedde,P,,0,P,,,5,,,1,4,,2,0,,1,3.0,4,0,0,0,0.0
2026-08-13,824561,Final,CWS,CIN,1,8,9,663855,Jordan Hicks,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-08-13,824561,Final,CWS,CIN,1,8,9,803011,Sam Antonacci,2B,8,1,H,5,5,2,0,0,0,2,0,0,0,0,2,,,,,,10
2026-08-13,824561,Final,CWS,CIN,1,8,9,678246,Miguel Vargas,1B,3,1,H,5,5,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-08-13,824561,Final,CIN,CWS,0,9,8,682829,Elly De La Cruz,SS,1,1,H,5,4,1,0,0,0,1,0,1,0,0,2,,,,,,8
