date,game_pk,status,team,opp,home,team_runs,opp_runs,player_id,player,pos,bat_slot,bat_starter,kind,pa,ab,h,2b,3b,hr,r,rbi,bb,hbp,sb,k,ip,er,win,qs,started,ud_pts
2026-06-06,824269,Final,DET,SEA,1,0,4,680744,Ty Madden,P,,0,P,,,4,,,0,0,,0,1,,3,2.67,0,0,0,0,5.67
2026-06-06,824269,Final,DET,SEA,1,0,4,663330,Jahmai Jones,DH,4,0,H,2,1,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-06-06,824269,Final,DET,SEA,1,0,4,682985,Riley Greene,LF,5,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,824269,Final,DET,SEA,1,0,4,805808,Kevin McGonigle,SS,2,1,H,4,3,1,1,0,0,0,0,1,0,0,0,,,,,,9
2026-06-06,824269,Final,DET,SEA,1,0,4,681481,Kerry Carpenter,DH,4,1,H,2,1,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-06-06,824269,Final,DET,SEA,1,0,4,679529,Spencer Torkelson,1B,6,1,H,3,3,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-06-06,824269,Final,DET,SEA,1,0,4,805427,Drew Sommers,P,,0,P,,,0,,,0,0,,0,0,,3,1.33,0,0,0,0,4.33
2026-06-06,824269,Final,DET,SEA,1,0,4,672456,Keider Montero,P,,0,P,,,6,,,1,4,,1,1,,1,5.0,4,0,0,1,2.0
2026-06-06,824269,Final,DET,SEA,1,0,4,650402,Gleyber Torres,2B,1,1,H,4,4,0,0,0,0,0,0,0,0,0,4,,,,,,0
2026-06-06,824269,Final,DET,SEA,1,0,4,663837,Matt Vierling,CF,8,1,H,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-06,824269,Final,DET,SEA,1,0,4,693307,Dillon Dingler,C,3,1,H,4,3,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-06-06,824269,Final,DET,SEA,1,0,4,690993,Colt Keith,3B,7,1,H,3,3,1,0,1,0,0,0,0,0,0,1,,,,,,8
2026-06-06,824269,Final,DET,SEA,1,0,4,672761,Wenceel Pérez,RF,9,1,H,3,2,0,0,0,0,0,0,1,0,0,2,,,,,,3
2026-06-06,824269,Final,SEA,DET,0,4,0,647304,Josh Naylor,1B,3,1,H,5,4,1,0,0,0,1,0,0,1,0,1,,,,,,8
2026-06-06,824269,Final,SEA,DET,0,4,0,702284,Cole Young,2B,1,1,H,5,4,1,0,0,0,0,0,0,1,0,0,,,,,,6
2026-06-06,824269,Final,SEA,DET,0,4,0,678606,José A. Ferrer,P,,0,P,,,0,,,0,0,,1,0,,1,1.0,0,0,0,0,2.0
2026-06-06,824269,Final,SEA,DET,0,4,0,668227,Randy Arozarena,LF,4,1,H,4,3,2,1,0,0,1,2,1,0,0,0,,,,,,18
2026-06-06,824269,Final,SEA,DET,0,4,0,621550,Patrick Wisdom,3B,7,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-06-06,824269,Final,SEA,DET,0,4,0,686527,Dominic Canzone,DH,6,1,H,4,4,3,1,0,1,1,2,0,0,0,1,,,,,,25
2026-06-06,824269,Final,SEA,DET,0,4,0,640902,Jhonny Pereda,C,9,1,H,4,4,2,0,0,0,0,0,0,0,0,0,,,,,,6
2026-06-06,824269,Final,SEA,DET,0,4,0,666374,Matt Brash,P,,0,P,,,0,,,0,0,,1,0,,1,1.0,0,0,0,0,2.0
2026-06-06,824269,Final,SEA,DET,0,4,0,806068,Colt Emerson,SS,8,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,824269,Final,SEA,DET,0,4,0,642100,Gabe Speier,P,,0,P,,,1,,,0,0,,1,0,,0,1.0,0,0,0,0,1.0
2026-06-06,824269,Final,SEA,DET,0,4,0,677594,Julio Rodríguez,CF,2,1,H,5,5,1,0,0,0,1,0,0,0,0,1,,,,,,5
2026-06-06,824269,Final,SEA,DET,0,4,0,682243,Bryce Miller,P,,0,P,,,1,,,0,0,,2,0,,9,6.0,0,1,1,1,20.0
2026-06-06,824269,Final,SEA,DET,0,4,0,670042,Luke Raley,RF,5,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,823697,Final,MIN,KC,1,2,3,605170,Victor Caratini,C,6,1,H,4,2,1,1,0,0,0,0,1,1,0,1,,,,,,12
2026-06-06,823697,Final,MIN,KC,1,2,3,665019,Kody Clemens,LF,3,1,H,4,4,1,1,0,0,0,0,0,0,0,0,,,,,,6
2026-06-06,823697,Final,MIN,KC,1,2,3,686797,Brooks Lee,3B,2,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,823697,Final,MIN,KC,1,2,3,668885,Austin Martin,RF,5,1,H,4,3,1,0,0,0,1,0,1,0,0,2,,,,,,8
2026-06-06,823697,Final,MIN,KC,1,2,3,656484,Tristan Gray,SS,8,1,H,2,1,0,0,0,0,0,1,0,0,0,0,,,,,,2
2026-06-06,823697,Final,MIN,KC,1,2,3,605137,Josh Bell,DH,4,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-06-06,823697,Final,MIN,KC,1,2,3,668952,Ryan Kreidler,CF,9,1,H,3,2,0,0,0,0,0,0,1,0,0,0,,,,,,3
2026-06-06,823697,Final,MIN,KC,1,2,3,573124,Taylor Rogers,P,,0,P,,,0,,,0,0,,0,0,,1,1.33,0,0,0,0,2.33
2026-06-06,823697,Final,MIN,KC,1,2,3,606115,Orlando Arcia,SS,1,0,H,1,1,1,0,0,1,1,1,0,0,0,0,,,,,,14
2026-06-06,823697,Final,MIN,KC,1,2,3,668904,Royce Lewis,1B,7,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-06-06,823697,Final,MIN,KC,1,2,3,663616,Trevor Larnach,LF,1,1,H,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-06,823697,Final,MIN,KC,1,2,3,672782,Yoendrys Gómez,P,,0,P,,,0,,,0,0,,1,0,,0,0.67,0,0,0,0,0.67
2026-06-06,823697,Final,MIN,KC,1,2,3,657746,Joe Ryan,P,,0,P,,,6,,,1,1,,2,0,,5,6.0,1,0,1,1,13.0
2026-06-06,823697,Final,MIN,KC,1,2,3,679358,Eric Orze,P,,0,P,,,2,,,0,2,,0,0,,0,1.0,2,0,0,0,-1.0
2026-06-06,823697,Final,MIN,KC,1,2,3,807712,Luke Keaschall,2B,8,0,H,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-06,823697,Final,KC,MIN,0,3,2,695600,Carter Jensen,C,1,1,H,5,4,1,0,0,1,1,2,0,0,0,1,,,,,,16
2026-06-06,823697,Final,KC,MIN,0,3,2,668942,Josh Rojas,3B,8,1,H,4,4,0,0,0,0,1,0,0,0,0,0,,,,,,2
2026-06-06,823697,Final,KC,MIN,0,3,2,686555,Isaac Collins,LF,7,1,H,4,2,1,0,0,0,0,0,2,0,0,0,,,,,,9
2026-06-06,823697,Final,KC,MIN,0,3,2,679883,Luinder Avila,P,,0,P,,,2,,,0,1,,3,0,,3,5.0,1,0,0,1,7.0
2026-06-06,823697,Final,KC,MIN,0,3,2,668674,Lucas Erceg,P,,0,P,,,0,,,0,0,,1,0,,1,1.0,0,0,0,0,2.0
2026-06-06,823697,Final,KC,MIN,0,3,2,686681,Michael Massey,2B,6,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-06,823697,Final,KC,MIN,0,3,2,621381,Matt Strahm,P,,0,P,,,1,,,1,1,,0,0,,0,1.0,1,1,0,0,2.0
2026-06-06,823697,Final,KC,MIN,0,3,2,686469,Vinnie Pasquantino,1B,3,1,H,5,5,2,0,0,0,0,0,0,0,0,0,,,,,,6
2026-06-06,823697,Final,KC,MIN,0,3,2,664728,Kyle Isbel,CF,9,1,H,4,3,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-06-06,823697,Final,KC,MIN,0,3,2,663738,Daniel Lynch IV,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-06-06,823697,Final,KC,MIN,0,3,2,672580,Maikel Garcia,DH,4,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-06-06,823697,Final,KC,MIN,0,3,2,657041,Lane Thomas,RF,5,0,H,3,2,1,0,0,0,0,0,1,0,0,0,,,,,,6
2026-06-06,823697,Final,KC,MIN,0,3,2,656638,Alex Lange,P,,0,P,,,1,,,0,0,,0,1,,3,1.0,0,0,0,0,4.0
2026-06-06,823697,Final,KC,MIN,0,3,2,695506,Jac Caglianone,RF,5,1,H,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,823697,Final,KC,MIN,0,3,2,677951,Bobby Witt Jr.,SS,2,1,H,5,5,2,0,0,0,0,1,0,0,1,1,,,,,,12
2026-06-06,823048,Final,STL,CIN,1,6,5,663494,Bryan Torres,2B,7,1,H,4,3,2,0,0,0,1,0,0,0,1,0,,,,,,12
2026-06-06,823048,Final,STL,CIN,1,6,5,691023,Jordan Walker,RF,3,1,H,4,4,2,0,0,1,1,1,0,0,1,2,,,,,,21
2026-06-06,823048,Final,STL,CIN,1,6,5,687363,Victor Scott II,CF,9,1,H,2,2,1,0,0,0,0,1,0,0,0,0,,,,,,5
2026-06-06,823048,Final,STL,CIN,1,6,5,663457,Lars Nootbaar,CF,8,0,H,2,1,1,0,0,1,1,2,1,0,0,0,,,,,,19
2026-06-06,823048,Final,STL,CIN,1,6,5,665877,José Fermín,3B,6,1,H,4,4,3,0,0,0,2,0,0,0,1,0,,,,,,17
2026-06-06,823048,Final,STL,CIN,1,6,5,700669,Gordon Graceffo,P,,0,P,,,2,,,0,0,,0,0,,1,1.67,0,0,0,0,2.67
2026-06-06,823048,Final,STL,CIN,1,6,5,676475,Alec Burleson,1B,5,1,H,4,3,1,0,0,0,1,0,1,0,0,0,,,,,,8
2026-06-06,823048,Final,STL,CIN,1,6,5,676617,Riley O'Brien,P,,0,P,,,2,,,0,0,,1,0,,1,1.0,0,0,0,0,2.0
2026-06-06,823048,Final,STL,CIN,1,6,5,666277,George Soriano,P,,0,P,,,1,,,0,0,,0,0,,0,1.0,0,1,0,0,3.0
2026-06-06,823048,Final,STL,CIN,1,6,5,669461,Matthew Liberatore,P,,0,P,,,4,,,1,5,,3,0,,4,4.33,3,0,0,1,5.33
2026-06-06,823048,Final,STL,CIN,1,6,5,686780,Pedro Pagés,C,8,1,H,2,2,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,823048,Final,STL,CIN,1,6,5,592773,Ryne Stanek,P,,0,P,,,0,,,0,0,,0,0,,0,1.0,0,0,0,0,1.0
2026-06-06,823048,Final,STL,CIN,1,6,5,691026,Masyn Winn,SS,1,1,H,5,5,2,0,0,0,0,2,0,0,0,2,,,,,,10
2026-06-06,823048,Final,STL,CIN,1,6,5,671056,Iván Herrera,DH,2,1,H,4,4,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-06-06,823048,Final,STL,CIN,1,6,5,699625,Jimmy Crooks,C,9,0,H,2,2,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,823048,Final,STL,CIN,1,6,5,676369,Nelson Velázquez,LF,4,1,H,4,4,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,823048,Final,CIN,STL,0,5,6,667472,Dane Myers,CF,1,1,H,4,4,2,0,0,0,1,0,0,0,1,0,,,,,,12
2026-06-06,823048,Final,CIN,STL,0,5,6,701398,Sal Stewart,3B,4,1,H,5,5,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-06-06,823048,Final,CIN,STL,0,5,6,622088,Tejay Antone,P,,0,P,,,1,,,0,0,,1,0,,2,1.67,0,0,0,0,3.67
2026-06-06,823048,Final,CIN,STL,0,5,6,682622,Noelvi Marte,RF,7,1,H,4,3,1,0,0,0,1,0,1,0,0,1,,,,,,8
2026-06-06,823048,Final,CIN,STL,0,5,6,663574,Tony Santillan,P,,0,P,,,0,,,0,0,,0,0,,1,0.33,0,0,0,0,1.33
2026-06-06,823048,Final,CIN,STL,0,5,6,663993,Nathaniel Lowe,PH,9,0,H,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,0
2026-06-06,823048,Final,CIN,STL,0,5,6,680574,Matt McLain,SS,8,1,H,4,3,1,0,0,1,2,2,1,0,0,0,,,,,,21
2026-06-06,823048,Final,CIN,STL,0,5,6,666181,Will Benson,PH,1,0,H,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,3
2026-06-06,823048,Final,CIN,STL,0,5,6,694362,Blake Dunn,LF,6,1,H,4,4,3,1,0,0,1,0,0,0,1,0,,,,,,18
2026-06-06,823048,Final,CIN,STL,0,5,6,664731,P.J. Higgins,C,9,1,H,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,0
2026-06-06,823048,Final,CIN,STL,0,5,6,668715,Spencer Steer,1B,3,1,H,5,2,0,0,0,0,0,1,2,0,0,0,,,,,,8
2026-06-06,823048,Final,CIN,STL,0,5,6,553993,Eugenio Suárez,3B,5,1,H,4,4,0,0,0,0,0,0,0,0,0,2,,,,,,0
2026-06-06,823048,Final,CIN,STL,0,5,6,666157,Nick Lodolo,P,,0,P,,,10,,,1,4,,1,0,,3,5.0,4,0,0,1,4.0
2026-06-06,823048,Final,CIN,STL,0,5,6,594580,Sam Moll,P,,0,P,,,2,,,1,2,,0,0,,1,1.0,2,0,0,0,0.0
2026-06-06,823048,Final,CIN,STL,0,5,6,668709,JJ Bleday,DH,2,1,H,5,5,1,0,0,0,0,1,0,0,1,0,,,,,,9
2026-06-06,824669,Final,CHC,SF,1,3,2,694037,Daniel Palencia,P,,0,P,,,2,,,0,1,,0,0,,1,1.0,1,0,0,0,1.0
2026-06-06,824669,Final,CHC,SF,1,3,2,624424,Michael Conforto,DH,2,1,H,3,2,0,0,0,0,0,0,1,0,1,1,,,,,,7
2026-06-06,824669,Final,CHC,SF,1,3,2,664023,Ian Happ,LF,5,1,H,4,3,0,0,0,0,0,0,1,0,0,1,,,,,,3
2026-06-06,824669,Final,CHC,SF,1,3,2,573204,Caleb Thielbar,P,,0,P,,,1,,,1,1,,0,0,,2,0.67,1,0,0,0,1.67
2026-06-06,824669,Final,CHC,SF,1,3,2,608324,Alex Bregman,3B,4,1,H,4,3,0,0,0,0,0,0,1,0,0,2,,,,,,3
2026-06-06,824669,Final,CHC,SF,1,3,2,699393,Pedro Ramírez,2B,8,1,H,4,4,1,0,0,0,0,0,0,0,0,1,,,,,,3
2026-06-06,824669,Final,CHC,SF,1,3,2,683737,Michael Busch,1B,3,1,H,5,4,2,0,0,0,0,0,1,0,0,2,,,,,,9
2026-06-06,824669,Final,CHC,SF,1,3,2,608348,Carson Kelly,C,9,1,H,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,0
