date,game_pk,time_utc,status,team,opp,home,prob_sp_id,prob_sp,opp_sp_id,opp_sp,lineup
2026-09-09,824226,2026-09-09T17:10:00Z,Final,MIN,DET,0,805673,Zebby Matthews,672456,Keider Montero,1:Luke Keaschall(RF) | 2:Brooks Lee(3B) | 3:Kody Clemens(2B) | 4:Josh Bell(DH) | 5:Kaelen Culpepper(SS) | 6:Trevor Larnach(LF) | 7:Royce Lewis(1B) | 8:Victor Caratini(C) | 9:Walker Jenkins(CF)
2026-09-09,824226,2026-09-09T17:10:00Z,Final,DET,MIN,1,672456,Keider Montero,805673,Zebby Matthews,1:Kevin McGonigle(3B) | 2:Hao-Yu Lee(2B) | 3:Colt Keith(1B) | 4:Riley Greene(DH) | 5:Dillon Dingler(C) | 6:Brett Callahan(LF) | 7:Max Clark(CF) | 8:Ben Malgeri(RF) | 9:John Peck(SS)
2026-09-09,824956,2026-09-09T19:05:00Z,Final,TOR,ATH,0,680755,Braydon Fisher,669620,Brady Basso,1:Brett Bateman(RF) | 2:Charles McAdoo(LF) | 3:Vladimir Guerrero Jr.(1B) | 4:Alejandro Kirk(DH) | 5:Kazuma Okamoto(3B) | 6:Andrés Giménez(SS) | 7:Ernie Clement(2B) | 8:Brandon Valenzuela(C) | 9:Myles Straw(CF)
2026-09-09,824956,2026-09-09T19:05:00Z,Final,ATH,TOR,1,669620,Brady Basso,680755,Braydon Fisher,1:Henry Bolte(CF) | 2:Lawrence Butler(RF) | 3:Zack Gelof(3B) | 4:Carlos Cortes(LF) | 5:Tommy White(1B) | 6:Max Muncy(DH) | 7:Donovan Walton(2B) | 8:Brian Serven(C) | 9:Alika Williams(SS)
2026-09-09,823172,2026-09-09T19:45:00Z,In Progress,STL,SF,0,669467,Andre Pallante,694918,Blade Tidwell,1:Bryan Torres(LF) | 2:Iván Herrera(DH) | 3:Alec Burleson(1B) | 4:Leo Bernal(C) | 5:Joshua Báez(RF) | 6:Nolan Gorman(3B) | 7:Thomas Saggese(SS) | 8:Nathan Church(CF) | 9:José Fermín(2B)
2026-09-09,823172,2026-09-09T19:45:00Z,In Progress,SF,STL,1,694918,Blade Tidwell,669467,Andre Pallante,1:Drew Gilbert(CF) | 2:Turner Hill(DH) | 3:Bryce Eldridge(1B) | 4:Jonah Cox(2B) | 5:Jung Hoo Lee(RF) | 6:Shay Whitcomb(3B) | 7:Drew Cavanaugh(C) | 8:Grant McCray(LF) | 9:Christian Koss(SS)
2026-09-09,823251,2026-09-09T20:10:00Z,In Progress,WSH,SD,0,800600,Jackson Kent,621111,Walker Buehler,1:James Wood(DH) | 2:Dylan Crews(RF) | 3:Andrés Chaparro(3B) | 4:CJ Abrams(2B) | 5:Yohandy Morales(1B) | 6:Daylen Lile(LF) | 7:Keibert Ruiz(C) | 8:Nasim Nuñez(SS) | 9:Jacob Young(CF)
2026-09-09,823251,2026-09-09T20:10:00Z,In Progress,SD,WSH,1,621111,Walker Buehler,800600,Jackson Kent,1:Fernando Tatis Jr.(2B) | 2:Xander Bogaerts(SS) | 3:Manny Machado(3B) | 4:Ty France(1B) | 5:Jackson Merrill(CF) | 6:Luis Campusano(C) | 7:Austin Hays(DH) | 8:Samad Taylor(LF) | 9:Jase Bowen(RF)
2026-09-09,823090,2026-09-09T20:10:00Z,In Progress,TEX,SEA,0,674003,Cody Bradford,807739,Kade Anderson,1:Ezequiel Duran(CF) | 2:Corey Seager(SS) | 3:Justin Foscue(2B) | 4:Brandon Nimmo(RF) | 5:Wyatt Langford(LF) | 6:Jake Burger(1B) | 7:Logan O'Hoppe(DH) | 8:Elias Díaz(C) | 9:Cody Freeman(3B)
2026-09-09,823090,2026-09-09T20:10:00Z,In Progress,SEA,TEX,1,807739,Kade Anderson,674003,Cody Bradford,1:J.P. Crawford(SS) | 2:Randy Arozarena(LF) | 3:Dominic Canzone(DH) | 4:Cal Raleigh(C) | 5:Julio Rodríguez(CF) | 6:Josh Naylor(1B) | 7:Taylor Ward(RF) | 8:Cole Young(2B) | 9:Weston Wilson(3B)
2026-09-09,824791,2026-09-09T22:35:00Z,Pre-Game,CLE,BAL,0,656492,Foster Griffin,669358,Shane Baz,1:Steven Kwan(CF) | 2:Chase DeLauter(RF) | 3:José Ramírez(3B) | 4:Jo Adell(LF) | 5:Travis Bazzana(DH) | 6:Nathaniel Lowe(1B) | 7:Angel Genao(2B) | 8:Patrick Bailey(C) | 9:Brayan Rocchio(SS)
2026-09-09,824791,2026-09-09T22:35:00Z,Pre-Game,BAL,CLE,1,669358,Shane Baz,656492,Foster Griffin,1:Dylan Beavers(LF) | 2:Pete Alonso(1B) | 3:Coby Mayo(DH) | 4:Christian Encarnacion-Strand(3B) | 5:Jackson Holliday(SS) | 6:Rece Hinds(CF) | 7:Jeremiah Jackson(2B) | 8:Leody Taveras(RF) | 9:Carlos Narváez(C)
2026-09-09,823416,2026-09-09T22:40:00Z,Pre-Game,HOU,PHI,0,686613,Hunter Brown,650911,Cristopher Sánchez,1:Jeremy Peña(SS) | 2:Yordan Alvarez(DH) | 3:Isaac Paredes(3B) | 4:Jose Altuve(2B) | 5:Yainer Diaz(C) | 6:Christian Walker(1B) | 7:Daulton Varsho(CF) | 8:Cam Smith(RF) | 9:Jorge Barrosa(LF)
