date,game_pk,time_utc,status,team,opp,home,prob_sp_id,prob_sp,opp_sp_id,opp_sp,lineup
2026-09-07,823415,2026-09-07T17:05:00Z,Final,ATL,PHI,0,656550,Grant Holmes,666200,Jesús Luzardo,1:Ronald Acuña Jr.(DH) | 2:Drake Baldwin(C) | 3:Ozzie Albies(2B) | 4:Matt Olson(1B) | 5:Lane Thomas(RF) | 6:Michael Harris II(CF) | 7:Mauricio Dubón(LF) | 8:Austin Riley(3B) | 9:Ha-Seong Kim(SS)
2026-09-07,823415,2026-09-07T17:05:00Z,Final,PHI,ATL,1,666200,Jesús Luzardo,656550,Grant Holmes,1:Kyle Schwarber(DH) | 2:Trea Turner(SS) | 3:Bryce Harper(RF) | 4:Luis Arraez(2B) | 5:Alec Bohm(1B) | 6:Bryson Stott(3B) | 7:Brandon Marsh(LF) | 8:J.T. Realmuto(C) | 9:Justin Crawford(CF)
2026-09-07,823820,2026-09-07T17:10:00Z,Final,NYM,MIA,0,804636,Jonah Tong,691587,Eury Pérez,1:Francisco Lindor(SS) | 2:Juan Soto(DH) | 3:Bo Bichette(3B) | 4:Carson Benge(RF) | 5:Marcus Semien(2B) | 6:A.J. Ewing(CF) | 7:Francisco Alvarez(C) | 8:Brett Baty(1B) | 9:Nick Morabito(LF)
2026-09-07,823820,2026-09-07T17:10:00Z,Final,MIA,NYM,1,691587,Eury Pérez,804636,Jonah Tong,1:Kyle Stowers(DH) | 2:Heriberto Hernández(LF) | 3:Griffin Conine(1B) | 4:Otto Lopez(SS) | 5:Jakob Marsee(CF) | 6:Javier Sanoja(2B) | 7:Owen Caissie(RF) | 8:Graham Pauley(3B) | 9:Joe Mack(C)
2026-09-07,824715,2026-09-07T17:35:00Z,Final,LAA,BOS,0,680570,Grayson Rodriguez,678394,Brayan Bello,1:Zach Neto(SS) | 2:Mike Trout(DH) | 3:Wade Meckler(LF) | 4:Vaughn Grissom(3B) | 5:Moisés Ballesteros(1B) | 6:Christian Moore(2B) | 7:Josh Lowe(RF) | 8:Kyren Paris(CF) | 9:Tyler Heineman(C)
2026-09-07,824715,2026-09-07T17:35:00Z,Final,BOS,LAA,1,678394,Brayan Bello,680570,Grayson Rodriguez,1:Roman Anthony(DH) | 2:Mickey Gasper(1B) | 3:Adley Rutschman(C) | 4:Wilyer Abreu(RF) | 5:Trevor Story(SS) | 6:Caleb Durbin(3B) | 7:Jarren Duran(LF) | 8:Isiah Kiner-Falefa(2B) | 9:Eli White(CF)
2026-09-07,824793,2026-09-07T17:35:00Z,Final,CLE,BAL,0,676282,Joey Cantillo,669432,Trevor Rogers,1:Steven Kwan(LF) | 2:Jo Adell(DH) | 3:José Ramírez(3B) | 4:Angel Martínez(RF) | 5:David Fry(1B) | 6:Angel Genao(2B) | 7:Austin Hedges(C) | 8:Petey Halpin(CF) | 9:Brayan Rocchio(SS)
2026-09-07,824793,2026-09-07T17:35:00Z,Final,BAL,CLE,1,669432,Trevor Rogers,676282,Joey Cantillo,1:Blaze Alexander(RF) | 2:Pete Alonso(1B) | 3:Jackson Holliday(2B) | 4:Coby Mayo(3B) | 5:Gunnar Henderson(SS) | 6:Christian Encarnacion-Strand(DH) | 7:Samuel Basallo(C) | 8:Rece Hinds(CF) | 9:Dylan Beavers(LF)
2026-09-07,824062,2026-09-07T18:10:00Z,Final,AZ,KC,0,571882,Derek Law,702070,Noah Cameron,1:Geraldo Perdomo(SS) | 2:Ketel Marte(2B) | 3:Gabriel Moreno(C) | 4:Nolan Arenado(3B) | 5:Lourdes Gurriel Jr.(DH) | 6:Ildemaro Vargas(1B) | 7:Tim Tawa(RF) | 8:Jordan Lawlar(CF) | 9:Ryan Waldschmidt(LF)
2026-09-07,824062,2026-09-07T18:10:00Z,Final,KC,AZ,1,702070,Noah Cameron,571882,Derek Law,1:Carter Jensen(C) | 2:Bobby Witt Jr.(SS) | 3:Vinnie Pasquantino(1B) | 4:Salvador Perez(DH) | 5:Michael Massey(2B) | 6:Nick Loftin(3B) | 7:John Rave(RF) | 8:Matthew Lugo(LF) | 9:Kyle Isbel(CF)
