date,game_pk,time_utc,status,team,opp,home,prob_sp_id,prob_sp,opp_sp_id,opp_sp,lineup
2026-09-17,823334,2026-09-17T16:35:00Z,Scheduled,MIL,PIT,0,690986,Kyle Harrison,696062,Wilber Dotel,
2026-09-17,823334,2026-09-17T16:35:00Z,Scheduled,PIT,MIL,1,696062,Wilber Dotel,690986,Kyle Harrison,
2026-09-17,824464,2026-09-17T16:40:00Z,Scheduled,LAD,CIN,0,680736,Justin Wrobleski,663903,Brady Singer,
2026-09-17,824464,2026-09-17T16:40:00Z,Scheduled,CIN,LAD,1,663903,Brady Singer,680736,Justin Wrobleski,
2026-09-17,822924,2026-09-17T17:10:00Z,Scheduled,ATH,TB,0,605488,Jeffrey Springs,656876,Drew Rasmussen,
2026-09-17,822924,2026-09-17T17:10:00Z,Scheduled,TB,ATH,1,656876,Drew Rasmussen,605488,Jeffrey Springs,
2026-09-17,824305,2026-09-17T19:10:00Z,Scheduled,SD,COL,0,650633,Michael King,685299,Tanner Gordon,
2026-09-17,824305,2026-09-17T19:10:00Z,Scheduled,COL,SD,1,685299,Tanner Gordon,650633,Michael King,
2026-09-17,824141,2026-09-17T23:15:00Z,Scheduled,KC,HOU,0,607625,Seth Lugo,,,
2026-09-17,824141,2026-09-17T23:15:00Z,Scheduled,HOU,KC,1,,,607625,Seth Lugo,
2026-09-17,823573,2026-09-17T23:15:00Z,Scheduled,PHI,NYM,0,605400,Aaron Nola,690997,Nolan McLean,
2026-09-17,823573,2026-09-17T23:15:00Z,Scheduled,NYM,PHI,1,690997,Nolan McLean,605400,Aaron Nola,
2026-09-17,824548,2026-09-17T23:40:00Z,Scheduled,DET,CWS,0,664285,Framber Valdez,607200,Erick Fedde,
2026-09-17,824548,2026-09-17T23:40:00Z,Scheduled,CWS,DET,1,607200,Erick Fedde,664285,Framber Valdez,
2026-09-17,822845,2026-09-18T00:05:00Z,Scheduled,BOS,TEX,0,543243,Sonny Gray,641302,Tyler Alexander,
2026-09-17,822845,2026-09-18T00:05:00Z,Scheduled,TEX,BOS,1,641302,Tyler Alexander,543243,Sonny Gray,
2026-09-17,823978,2026-09-18T01:38:00Z,Scheduled,MIN,LAA,0,671737,Taj Bradley,700712,Walbert Ureña,
2026-09-17,823978,2026-09-18T01:38:00Z,Scheduled,LAA,MIN,1,700712,Walbert Ureña,671737,Taj Bradley,
